rrkWzM814161LeIsAM3vRdtEKSyktxLXLsoH0_2mcfFzS1w,95
cak1Akov1dwwaikuXZI603jAn,99
my0RJmGSkFNXxgisxEXTFrdI1hpx1S847QK6k0v449CAMCPd9c8Gg5ZFmIYAoWfJURrWU_c7w8Dv4CMMzDjYp,50
v_zQVd5PAvsLPN0Oc8sgQlI5LjS4SxSGaeffBjkL43xlscxm3Vmni9FDQwJuSS9ScC83j3sHukvWgabXVd3NK2y5RePr8z,50
DVHpyBUqJMTHlx3oYYeMWbBcByxnJsTdLoSQB0AnHSwyu79S5d77S,43
8Xda6Ass315KGo4qB_R6JoIps,84
UmXT_NRYlj67HSBW5eil8kFhKMJ2hS9bFqCIdDqtBb,54
YL3sDMXBilswI_Uj4Y_fYR5iwd81bYo_ittEplvzRAAqI,45
dZJF3IMelqqnGjWfB3rJuG10lpn_5JUdfCa4Owy700Cqf5oTSS_p8ClgiOC60H2,101
UcybjzHL2q1tH7IuGmVSjwVb1984kobqfvRnJiUywDtgvxWUuSA9C8duv4kL4jQ,25
NMakWYemJ0UZmDl9DRUCgBfcgRe96gkdiVKgnHVdt0_P,56
naW_JK96vjXaPQEbi3nwrltveGR0YU9g4ReK4cwMfnWSQ1uCctVLF0xrPLgwtfaBCN07snEfF0AbAml,103
D6V3ljwjM9ifh1WZemEzGWih58Fx9uRqDQWlI2HVMON6TDsF0mpaQwxRVjnOzLP6hmN55jtC3s2EzrFXOaFHGqlu9lh_oH4,84
8ZsWTgwm4rLmKT_ivl7HTbgsw,106
tyFb8,60
WoD2sxqHB6cCvqGb5ZyacEFyQA3FMVQnZQIGiRUAToi9Ct0iXZzP56GzteTSm6yeOELBdNAsO,0
OFswTNuZzGhYfWgJ9R,44
NQo0lKAmkFTt2AGid72luvZrXGAanTIRJR3uR,104
b2Zy6V4,63
k7qGPgB5Cqy9II2FB9iU0hNjAAOB_ASf8rzCy7looEoPtV4NcPiKXIO,58
