tCOCU6grNhExyB41Ylbqt6n,15
Hm6mO2vcbbcWsTkFycffPcPWTsUH1uOgSx2yB4SHhhA0tZBznxZV8w6IHyvyOTGE,62
pGrf1au98_Ao81CnuAuXdP1RJEcjXWLp3H2dLly15IJkq4m1Rpf7Nf9N32GPoQZUfRUgxDNotLeoi,40
H5DqPycKvL3KF2_Dv5MVi,74
K0tOuAFJACuogUw3j6JFv3s4lMndxqUnuIKdBleIHE0I_ZN61N7xmf_ekWIVJbe6qB0AKCtMMhsISkynYt5WY90f,120
uE,14
QI87Ynjm5PLDWKi3m,112
iB4F8NlgZfMP5GGUpiKQWkdsvz3xUFtsV3q95GlkmJv,98
o3YmQDibAfax2yGieXOkeTkR7EmrwibYi7FIItGU5XENiA4bDJy0KIUKbnuC_nTPh1WMZpFouX7T,95
TL0zpeTkNrEWFTSiTOowIKayhruvsR6LGQptZakb4DOnu26p_CndRSApb8aaBFwANnMytO3VpF3ZZxp,100
XPI,50
0c4y0bIyRkD9Vg3IDGGLkQ1hkzN_eWpGJ0SC8Ef22hte6rYtqnJJWfPRV8wJJWzI1s3WiAM,21
ZTPmxAJEflL9JQiOcmiphEC2Jc_kzT2q6kImXDtXcX4J9j7kxRuEltAMHLAtajfGzHaJtfBdgN_wpjkdOkBgKug,104
8PGikCslsb67K7,90
rjxKOR0cG4PeoeFajK0G3garl2u8fQbs,111
hbeaeHH,21
tzSbm5ciQmN16HJ1bIKXTKZB9bfAhc9PwK6MSEbgsBhbvO4gN1bRJLLvF3FQ4,118
ZCRaTnk2hwLbulrZ9laSlfzYL3BqIBUHtZHfdQmm531XhM75Ps5bjLyxjiee_SJWtJjtplIiaG0rQ8_e_WXU6W_PYhopJl5Y_Z,74
ChV3Ibw5E3oh,113
Tienod3eqzKzoXDKLRcT1k_v7ojT__n0P0EKqn54tb4Fgy2Qj7kWQ66ipxyrFY_6GV5uPwuQYkmFoF1vaxVB4ExAY39oaa0dq,111
fmrkC8eWlUSyiwgatA32oEld1BxnaWGe0FZhX7XU0_2Zv8DfHSQ_jgiVBlOXYdY,34
9pV0hBoj1rQfErmUMoc2U6gD_rBdi5C4SPjU1MBqDzaQbKO,19
XVoz5lpYD,114
taDLdrlZnUf6oNj4PwT72D9URdVCu9F6vJA1pt2H,90
RgfrVIiXqNSO0AZBRh__2HFugUKGUlB3574VYUE4k13xcPr6QXK_,69
u_L_wXdg5r_j6zUv4R4OAzwedy1WGNnnW__yNi0G,51
s6Cv_KjE_1lZ6ns56Onoic4QG3gqjX0ARwzaMsFssxVUAT3Siqj7IP,86
